year, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, -1, -2, -3, -4, -5, -6, -7, -8, -9, -10, -11, -12, -13, -14, -15, -16, -17, -18, -19, -20, -21, -22, -23, -24, -25, -26, -27, -28, -29, -30, 
2005, 169, 158, 145, 133, 124, 117, 105, 100, 89, 76, 68, 56, 42, 30, 24, 17, 14, 10, 8, 7, 5, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2006, 183, 173, 166, 156, 146, 134, 123, 110, 105, 98, 81, 72, 64, 56, 46, 38, 30, 23, 20, 16, 14, 10, 8, 7, 4, 4, 4, 4, 3, 3, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
2007, 201, 195, 186, 157, 138, 124, 112, 91, 77, 69, 56, 46, 38, 30, 21, 16, 12, 11, 10, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2008, 201, 183, 168, 151, 134, 123, 105, 93, 84, 69, 52, 36, 22, 15, 13, 12, 11, 9, 6, 4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2009, 189, 174, 165, 152, 140, 132, 127, 113, 101, 87, 66, 52, 42, 38, 32, 30, 19, 15, 10, 7, 7, 6, 4, 4, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2010, 187, 179, 166, 151, 135, 130, 118, 110, 101, 97, 85, 79, 72, 62, 54, 47, 34, 26, 23, 18, 11, 6, 5, 5, 5, 5, 4, 4, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2011, 195, 190, 182, 171, 158, 144, 128, 116, 101, 79, 60, 54, 46, 42, 33, 25, 18, 13, 8, 5, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2012, 189, 176, 164, 156, 143, 131, 124, 107, 98, 89, 70, 61, 58, 52, 49, 42, 37, 30, 26, 23, 19, 19, 17, 15, 13, 11, 9, 7, 6, 4, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
2013, 183, 177, 166, 160, 149, 145, 139, 132, 120, 93, 74, 57, 48, 38, 26, 21, 14, 10, 7, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2014, 183, 168, 159, 152, 136, 123, 104, 86, 71, 63, 48, 37, 34, 26, 22, 18, 17, 15, 12, 11, 8, 5, 5, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2015, 195, 187, 177, 169, 152, 138, 114, 92, 76, 58, 38, 26, 17, 10, 6, 6, 4, 4, 4, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2016, 205, 192, 180, 171, 157, 141, 118, 98, 86, 72, 57, 44, 36, 27, 24, 15, 13, 10, 8, 6, 5, 4, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2017, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 38, 29, 29, 24, 23, 19, 15, 12, 10, 8, 7, 7, 7, 4, 3, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
