year, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, -1, -2, -3, -4, -5, -6, -7, -8, -9, -10, -11, -12, -13, -14, -15, -16, -17, -18, -19, -20, -21, -22, -23, -24, -25, -26, -27, -28, -29, -30, 
1960, 209, 193, 180, 163, 147, 135, 125, 111, 96, 81, 67, 56, 45, 41, 35, 31, 28, 22, 19, 18, 12, 11, 11, 9, 8, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1961, 200, 189, 166, 148, 129, 120, 113, 108, 97, 88, 77, 64, 53, 39, 36, 31, 25, 23, 21, 19, 18, 17, 14, 13, 10, 9, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1962, 212, 200, 191, 178, 169, 161, 146, 134, 123, 111, 99, 87, 67, 56, 48, 41, 32, 23, 18, 15, 10, 7, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1963, 196, 182, 174, 167, 157, 146, 140, 132, 125, 120, 117, 103, 98, 84, 77, 65, 57, 50, 47, 43, 39, 32, 30, 23, 18, 15, 13, 7, 6, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1964, 210, 196, 186, 179, 164, 159, 151, 145, 137, 122, 108, 99, 91, 79, 67, 54, 47, 41, 32, 25, 17, 14, 10, 6, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1965, 217, 211, 202, 188, 178, 172, 164, 150, 132, 114, 98, 87, 70, 60, 47, 40, 32, 26, 21, 18, 16, 11, 8, 6, 4, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1966, 188, 177, 170, 165, 149, 146, 138, 125, 109, 94, 81, 63, 52, 41, 36, 32, 25, 20, 13, 10, 4, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1967, 180, 169, 160, 153, 149, 142, 135, 117, 107, 91, 78, 67, 60, 52, 45, 38, 34, 31, 22, 19, 15, 11, 8, 5, 4, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1968, 197, 180, 176, 164, 151, 143, 134, 126, 117, 108, 96, 83, 68, 54, 45, 34, 23, 19, 14, 13, 11, 8, 7, 6, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
